Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1998-008	Veterans Academy	"1030 Girard Rd, San Francisco, CA 94129"	108	100	0	Swords To Plowshares	Presidio	2	"(37.8020782, -122.453392)"	37.8020782	 -122.453392)
1998-009	Ellis Street Apartments	"864 Ellis St, San Francisco, CA 94109"	25	25	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7841644, -122.4204254)"	37.7841644	 -122.4204254
1998-010	Ambassador Hotel	"55 Mason St, San Francisco, CA 94102"	134	134	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7840271, -122.4096069)"	37.7840271	 -122.4096069
1998-011	Eugene Coleman Senior Community	"328 Tehama St, San Francisco, CA 94103"	85	84	0	TODCO Group	South of Market	6	"(37.782177, -122.4027557)"	"37.782177,"	-122.4027557)
1998-012	MAC's Children and Family Services	"2168 Cayuga Ave, San Francisco, CA 94112"	3	0	0	"Mac's Children And Family Services, Inc."	Outer Mission	11	"(37.7104111, -122.4544373)"	37.7104111	 -122.4544373
1998-013	Golden Gate Apartments	"1820 Post St, San Francisco, CA 94115"	72	71	0	Chinatown Community Development Center	Japantown	5	"(37.7857246, -122.4321823)"	37.7857246	 -122.4321823
1998-014	Bayanihan House	"88 6th St, San Francisco, CA 94103"	152	151	0	TODCO Group	South of Market	6	"(37.7809219, -122.4091644)"	37.7809219	 -122.4091644
1998-015	Paramount	"680 Mission St, San Francisco, CA 94105"	486	99	0	"Third & Mission Associates, LLC"	Financial District/South Beach	6	"(37.7867622, -122.4019775)"	37.7867622	 -122.4019775
1998-016	TIHDI: TISH Phases 1 & 2	"1403 Sturgeon St, San Francisco, CA 94130"	66	66	0	Catholic Charities	Treasure Island	6	"(37.8281631, -122.3747482)"	37.8281631	 -122.3747482
1998-017	TIHDI: Female Offender Treatment and Education Program	"1440 Chinook Ct, San Francisco, CA 94130"	6	0	20	HealthRight360	Treasure Island	6	"(37.8243217, -122.3738708)"	37.8243217	 -122.3738708
1998-018	TIHDI: 1445 Chinook	"1445 Chinook Ct, San Francisco, CA 94130"	6	0	24	HealthRight360	Treasure Island	6	"(37.8239632, -122.3736725)"	37.8239632	 -122.3736725
1998-019	Halibut Court	"1432 Halibut Ct, San Francisco, CA 94130"	24	0	56	Swords To Plowshares	Treasure Island	6	"(37.8249168, -122.3746414)"	37.8249168	 -122.3746414
1998-020	SOMA Studios	"1188 Howard St, San Francisco, CA 94103"	88	88	0	Tenderloin Neighborhood Development Corporation	South of Market	6	"(37.7768059, -122.4114761)"	37.7768059	 -122.4114761
1998-021	Chinese American Citizens Alliance -S.F.	"843 Clay St, San Francisco, CA 94108"	26	23	0	Chinese American Citizens Alliance	Chinatown	3	"(37.7939529, -122.4072037)"	37.7939529	 -122.4072037
1998-022	Chinook Family Apartments	"1441 & 1443 Chinook Ct, San Francisco, CA 94130"	12	12	0	Swords To Plowshares	Treasure Island	6	"(37.8239632, -122.3736725)"	37.8239632	 -122.3736725
1999-010	Alexander Residence	"230 Eddy St, San Francisco, CA 94102"	179	178	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7843666, -122.411499)"	37.7843666	 -122.411499)
1999-011	Antonia Manor	"180 Turk St, San Francisco, CA 94102"	133	133	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7832375, -122.4122162)"	37.7832375	 -122.4122162
1999-012	Rich Sorro Commons	"150 Berry St, San Francisco, CA 94107"	100	100	0	Mission Housing Development Corporation	Mission Bay	6	"(37.7764664, -122.3930206)"	37.7764664	 -122.3930206
1999-013	Marlton Manor	"240-288 Jones St, San Francisco, CA 94102"	151	150	0	Mercy Housing California	Tenderloin	6	"(37.7837296, -122.412262)"	37.7837296	 -122.412262)
1999-014	Friendship House	"56 Julian Ave, San Francisco, CA 94103"	20	0	80	Friendship House	Mission	9	"(37.7672958, -122.421402)"	37.7672958	 -122.421402)
1999-015	Cameo House	"424 Guerrero St, San Francisco, CA 94110"	11	11	0	Center on Juvenile & Criminal Justice	Mission	8	"(37.7643127, -122.424469)"	37.7643127	 -122.424469)
1999-016	Carter Terrace	"530 Carter St, San Francisco, CA 94134"	101	100	0	Mercy Housing California	Excelsior	10	"(37.7089043, -122.4245834)"	37.7089043	 -122.4245834
1999-017	Kokoro Assisted Living Facility	"1881-1899 Bush St, San Francisco, CA 94109"	54	37	0	Kokoro Assisted Living Inc.	Pacific Heights	5	"(37.7874374, -122.4281311)"	37.7874374	 -122.4281311
1999-018	Notre Dame Apartments	"1590 Broadway, San Francisco, CA 94109"	204	201	0	Chinatown Community Development Center	Russian Hill	3	"(37.7962151, -122.4227371)"	37.7962151	 -122.4227371
1999-019	Maria Manor	"174 Ellis St, San Francisco, CA 94102"	119	119	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7856293, -122.40905)"	37.7856293	 -122.40905)
1999-020	Providence Senior Housing	"4601 3rd St, San Francisco, CA 94124"	50	50	0	Providence Senior Housing Corporation	Bayview Hunters Point	10	"(37.7357864, -122.3899841)"	37.7357864	 -122.3899841
1999-021	TIHDI: Island Bay Homes	"1411 Flounder Ct, San Francisco, CA 94130"	66	64	0	Community Housing Partnership	Treasure Island	6	"(37.8267097, -122.3747864)"	37.8267097	 -122.3747864
1999-022	SOMA Family Apartments	"1166 Howard St, San Francisco, CA 94103"	74	74	0	Tenderloin Neighborhood Development Corporation	South of Market	6	"(37.7768059, -122.4114761)"	37.7768059	 -122.4114761
1999-023	Jelani Family Program	"1638 Kirkwood Ave, San Francisco, CA 94124"	8	0	12	"Jelani, Inc. (Bayview Hunters Point Foundation)"	Bayview Hunters Point	10	"(37.7388191, -122.3905716)"	37.7388191	 -122.3905716
1999-024	421 Turk	"421 Turk St, San Francisco, CA 94102"	29	28	0	"Asian, Inc."	Tenderloin	6	"(37.7823219, -122.4161072)"	37.7823219	 -122.4161072
1999-025	Chinese American Citizens Alliance Grand Lodge	"1044 Stockton St, San Francisco, CA 94108"	16	16	0	Chinese American Citizens Alliance	Chinatown	3	"(37.7955437, -122.4078674)"	37.7955437	 -122.4078674
2000-008	Pierce Street Apartments	"220 Pierce St, San Francisco, CA 94117"	8	8	0	Tenderloin Neighborhood Development Corporation	Haight Ashbury	5	"(37.7721863, -122.4335022)"	37.7721863	 -122.4335022
2000-009	Tower 737 (aka Post St Towers)	"737 Post St, San Francisco, CA 94109"	248	49	0	Sequoia Equities	Tenderloin	3	"(37.7870483, -122.414032)"	37.7870483	 -122.414032)
2000-010	214 Dolores	"214 Dolores St, San Francisco, CA 94114"	8	8	0	Baker Places	Castro/Upper Market	8	"(37.7659035, -122.4270401)"	37.7659035	 -122.4270401
2000-011	Broadway Family Apartments	"150 Broadway, San Francisco, CA 94111"	81	66	0	Chinatown Community Development Center	Financial District/South Beach	3	"(37.7989731, -122.4005814)"	37.7989731	 -122.4005814
